#   Some data used for a study of mRNA localization to mitochondria
Gene	avgTranslationInitTimeSecs	avgNumRibosomes	givenMitoLocProb
YJL063C	21.18	2.91	0.0021
YJL066C	19.33	2.84	0.1803
YJL071W	245.46	1.14	0.7199
YJL096W	14.26	1.53	0.4079
YJL104W	15.33	1.32	0.0060
YJL109C	122.52	19.24	0.0771
YJL112W	180.68	1.97	0.8117
YJL133W	88.98	1.07	0.3105
YJL143W	17.01	1.18	0.0026
YJL166W	4.46	1.56	0.0274
YJL178C	28.03	1.85	0.0017
YJL180C	59.51	1.21	0.4894
YJL208C	26.0	3.44	0.6886
YJR016C	13.27	14.62	0.0137
YJR034W	7.52	2.16	0.0502
YJR048W	2.5	6.59	0.0265
YJR060W	26.2	4.17	0.0558
YJR077C	4.78	13.74	0.6514
YJR101W	77.22	0.83	0.4648
YJR104C	3.68	4.7	0.0047
YJR113C	67.49	0.93	0.2245
YJR121W	6.61	24.02	0.5010
YJR122W	100.63	1.43	0.8027
YJR144W	32.44	1.66	0.0806
YKL003C	11.36	1.69	0.0156
YKL011C	73.08	0.62	0.1518
YKL016C	6.06	3.68	0.0011
YKL027W	127.85	1.39	0.5869
YKL029C	17.92	17.82	0.1854
YKL040C	23.31	2.09	0.0356
YKL056C	4.48	2.4	0.0593
YKL067W	7.77	2.14	0.0006
YKL084W	3.99	4.81	0.2628
YKL085W	12.13	5.56	0.0220
YKL087C	11.12	4.1	0.0791
YKL094W	49.07	1.52	0.0032
YKL106W	74.94	1.98	0.0791
YKL113C	45.74	2.35	0.0001
YKL132C	769.19	0.34	0.8485
YKL134C	64.49	6.88	0.8286
YKL137W	10.08	1.15	0.0013
YKL138C	8.07	1.77	0.0665
YKL141W	10.19	3.41	0.4114
YKL148C	11.66	32.35	0.0998
YKL150W	20.55	2.93	0.2400
YKL155C	139.85	3.46	0.6996
YKL167C	9.13	1.88	0.0124
YKL170W	15.86	1.04	0.1728
YKL192C	2.78	9.76	0.0133
YKL194C	50.11	2.36	0.7726
YKL195W	32.03	3.84	0.7714
YKL208W	63.62	0.88	0.0037
YKR006C	25.28	2.7	0.3002
YKR036C	333.31	1.59	0.7982
YKR042W	4.68	15.64	0.0171
YKR049C	18.5	1.1	0.0075
YKR052C	67.75	1.06	0.3458
YKR063C	129.51	1.47	0.0001
YKR065C	8.84	4.3	0.2886
YKR066C	20.32	5.26	0.7119
YKR071C	22.96	3.9	0.0341
YKR085C	25.17	1.18	0.0321
YKR087C	95.62	0.86	0.6481
YLL001W	44.21	11.22	0.0253
YLL013C	24.52	29	0.6854
YLL027W	29.44	1.91	0.2504
YLL041C	19.71	2.7	0.0407
YLR008C	14.56	1.47	0.0000
YLR038C	3.19	1.52	0.0045
YLR059C	21.88	2.58	0.3263
YLR067C	293.48	2.24	0.5065
YLR069C	58.21	5.68	0.8744
YLR090W	117.58	1.65	0.0310
YLR105C	246.4	0.51	0.3130
YLR139C	39.38	9.03	0.2083
YLR163C	60.31	2.47	0.0109
YLR164W	128.74	0.12	0.4945
YLR165C	87.32	0.47	0.0821
YLR188W	147.35	6.8	0.8284
YLR190W	27.82	7.48	0.7361
YLR193C	9.58	3.28	0.0271
YLR201C	15.58	3.83	0.4853
YLR203C	20.49	7.11	0.7427
YLR204W	8.85	1.85	0.0001
YLR239C	28.18	2.89	0.3526
YLR251W	104.85	0.21	0.6347
YLR289W	177.12	1.89	0.1721
YLR295C	4.77	3.3	0.0004
YLR304C	8.34	33.44	0.3765
YLR348C	61.27	1.11	0.7158
YLR355C	2.2	36.11	0.0073
YLR368W	277.14	0.83	0.3092
YLR369W	103.9	5.2	0.4955
YLR382C	143.22	6.11	0.8601
YLR395C	4.14	1.94	0.0374
YLR439W	11.31	7.11	0.1415
YML009C	5.22	1.2	0.0388
YML010W	20.06	43.51	0.1917
YML021C	50.02	2.35	0.1367
YML042W	365.01	0.96	0.0454
YML061C	163.99	2.96	0.8251
YML086C	9.54	19.7	0.7644
YML091C	29.56	27.35	0.0059
YML110C	21.08	3.35	0.5020
YML120C	22.4	8.42	0.2731
YML129C	3.55	3.09	0.1303
YMR002W	8.98	2.6	0.0002
YMR023C	1430	0.62	0.6501
YMR024W	34.84	4.23	0.8170
YMR035W	64.23	0.43	0.0422
YMR038C	14.26	3.44	0.0008
YMR056C	405.62	0.17	0.2258
YMR059W	12.79	1.24	0.0032
YMR062C	28.53	5.37	0.8157
YMR064W	174.91	1.79	0.1659
YMR066W	592.6	1.41	0.0105
YMR072W	5.19	6.99	0.0247
YMR083W	9.0	10.91	0.0151
YMR089C	43.55	9.03	0.8782
YMR097C	79.7	1.95	0.2465
YMR098C	104.31	2.95	0.8454
YMR110C	66.87	3.59	0.0023
YMR115W	34.8	5.3	0.7924
YMR145C	22.07	10.6	0.8442
YMR150C	76.01	0.48	0.0047
YMR158W	14.49	1.8	0.0002
YMR177W	94.58	2.57	0.6725
YMR188C	41.81	1.08	0.0689
YMR193W	26.94	1.75	0.2589
YMR203W	5.94	18.75	0.6071
YMR211W	149.6	0.91	0.1659
YMR228W	79.77	1.2	0.7243
YMR241W	20.83	2.5	0.4519
YMR256C	3.05	2.06	0.0019
YMR257C	124.33	2.76	0.0675
YMR267W	35.96	1.84	0.0000
YMR282C	260.34	1.63	0.8382
YMR286W	8.9	1.13	0.0187
YMR287C	94.35	4.23	0.7720
YMR301C	63.3	8.27	0.8728
YMR302C	229.62	4.91	0.8915
YNL003C	118.92	0.83	0.5267
YNL005C	65.7	2.14	0.8039
YNL026W	120.13	1.38	0.6622
YNL037C	8.46	11.33	0.3244
YNL052W	5.42	4.17	0.0010
YNL055C	3.25	19.42	0.0220
YNL063W	169.28	0.74	0.1597
YNL070W	2.44	2.09	0.1080
YNL071W	8.5	21.29	0.0566
YNL073W	116.92	1.91	0.7956
YNL081C	7.62	2.24	0.0214
YNL104C	13.66	19.92	0.8177
YNL121C	12.18	19.93	0.8306
YNL131W	3.51	6.2	0.0217
YNL137C	26.13	7.67	0.3047
YNL169C	74.66	4.31	0.3187
YNL177C	49.79	1.79	0.6845
YNL185C	9.26	2.94	0.0321
YNL208W	6.4	4.78	0.0000
YNL213C	41.3	1.01	0.2828
YNL239W	11.25	14.35	0.1385
YNL252C	21.27	4.04	0.6501
YNL256W	150.41	3.15	0.4552
YNL284C	39.03	1.84	0.6481
YNL292W	21.28	6.49	0.0037
YNL306W	31.82	1.38	0.1193
YNL310C	6.46	4.95	0.0040
YNL315C	42.32	1.94	0.6845
YNR001C	27.93	4.97	0.0244
YNR017W	13.07	4.07	0.0137
YNR020C	44.3	1.23	0.0056
YNR022C	10.58	1.87	0.0002
YNR036C	22.25	1.13	0.0190
YNR037C	11.06	0.98	0.0198
YNR041C	56.53	1.94	0.6443
YNR045W	175.09	1.71	0.6554
YNR074C	97.72	1.23	0.0156
YOL008W	13.47	4.47	0.2051
YOL009C	49.55	1.44	0.1025
YOL021C	36.43	19.26	0.0877
YOL023W	125.74	4.66	0.7904
YOL026C	10.29	1.58	0.0732
YOL027C	19.69	14.66	0.3301
YOL033W	270.79	1.23	0.8573
YOL059W	10.31	13.31	0.1816
YOL071W	6.17	4.29	0.1108
YOL095C	211.31	2.13	0.3225
YOL096C	31.38	2.6	0.0334
YOL140W	122.36	0.77	0.5783
YOR004W	37.69	1.49	0.0217
YOR017W	112.7	5.45	0.7551
YOR020C	3.7	3.5	0.0004
YOR037W	142.93	0.94	0.2342
YOR040W	60.98	1.33	0.1709
YOR045W	2.35	1.05	0.1923
YOR065W	7.03	9.87	0.5005
YOR089C	25.8	1.19	0.0241
YOR108W	25.66	8.69	0.8177
YOR125C	25.94	1.6	0.0998
YOR136W	8.95	11.25	0.2245
YOR147W	158.15	2.11	0.7432
YOR150W	11.08	2.08	0.0235
YOR158W	29.09	3.14	0.0020
YOR176W	23.02	4.81	0.0023
YOR196C	55.71	2.24	0.6481
YOR201C	107.84	0.98	0.4879
YOR211C	42.05	11.08	0.8974
YOR221C	18.66	6.62	0.0028
YOR222W	308.91	0.26	0.6622
YOR226C	7.52	3.57	0.0385
YOR228C	54.54	1.32	0.7234
YOR232W	9.02	4.06	0.0018
YOR241W	70.85	2.99	0.4114
YOR266W	100.03	1.12	0.6974
YOR274W	90.61	1.33	0.0259
YOR285W	8.45	1.91	0.0017
YOR297C	15.79	2.2	0.7441
YOR316C	61.67	2.58	0.0523
YOR330C	231.08	7.31	0.8398
YOR334W	127.28	1.33	0.5338
YOR335C	10.28	48.7	0.0005
YOR346W	224.71	4.2	0.0806
YOR354C	128.3	3.2	0.0052
YOR356W	43.49	6.68	0.7617
YOR374W	9.11	24.05	0.1457
YOR386W	138.38	4.61	0.0549
YPL005W	238.28	1.04	0.7096
YPL013C	13.12	1.14	0.0913
YPL029W	241.41	1.87	0.8793
YPL040C	128.55	7.3	0.8518
YPL059W	9.83	2.6	0.1573
YPL060W	134.66	1.24	0.6524
YPL063W	12.05	16.22	0.8017
YPL078C	13.97	2.6	0.4595
YPL082C	289.6	15.65	0.1344
YPL097W	239.13	1.11	0.7718
YPL103C	111.7	1.97	0.6990
YPL104W	93.16	4.42	0.6550
YPL105C	54.14	6.59	0.0008
YPL118W	27.12	3.2	0.1256
YPL132W	113.83	0.69	0.6734
YPL134C	77.6	1.02	0.1560
YPL135W	19.73	1.23	0.4137
YPL159C	18.68	3.49	0.2705
YPL167C	1430	0.92	0.3920
YPL172C	673.46	2.07	0.6497
YPL173W	18.29	3.22	0.0120
YPL188W	32.3	4.45	0.7669
YPL196W	84.08	0.99	0.0120
YPL215W	40.91	2.65	0.1860
YPL224C	116.42	1.48	0.6672
YPL252C	12.91	2.08	0.3047
YPL262W	12.15	14	0.0117
YPL270W	150.52	4.39	0.8739
YPL271W	3.23	2.95	0.0268
YPR004C	19.4	4.75	0.7012
YPR006C	44.6	3.68	0.1463
YPR020W	6.26	2.85	0.0045
YPR021C	165.31	5.16	0.0961
YPR024W	47.59	7.66	0.8322
YPR033C	24.02	8.21	0.0013
YPR047W	69.53	2.08	0.7758
YPR058W	37.16	1.97	0.5582
YPR067W	13.63	2.41	0.2705
YPR097W	138.21	7.35	0.0209
YPR100W	11.14	1.54	0.0027
YPR113W	27.79	1.38	0.0070
YPR125W	25.1	6.27	0.5989
YPR134W	99.01	0.61	0.4091
YPR140W	51.1	2.3	0.5172
YPR155C	175.31	2.26	0.5656
YPR166C	6.69	2.12	0.0021
YPR184W	300.46	7.54	0.0032
YPR191W	6.97	14.54	0.0005
